address,close,high,low,open,type,ts,volume,currency,date,interval
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.718432071826197e-06,3.718432071826197e-06,3.7164993207705226e-06,3.718071000412774e-06,1m,1750549320,439749.643843,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.718432071826197e-06,3.713850301205921e-06,3.718432071826197e-06,1m,1750549380,178624.497161,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549440,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549500,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549560,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549620,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549680,30.70963,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549740,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549800,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549860,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549920,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750549980,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750550040,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750550100,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750550160,0.0,usd,2025-06-21,1m
3vF5jbkEvr5uEuHmd2NGgHHWdstpDnMUvUJKydYNpump,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,3.713850301205921e-06,1m,1750550220,0.0,usd,2025-06-21,1m
