address,close,high,low,open,type,ts,volume,currency,date,interval
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.856929180206751e-06,6.907732428497946e-06,4.856929180206751e-06,6.784271047169183e-06,1m,1726852800,269539504.052834,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,5.0591379219426005e-06,5.380281923728486e-06,4.856929180206751e-06,4.856929180206751e-06,1m,1726852860,103923086.54773399,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.799847415320482e-06,5.0591379219426005e-06,4.799847415320482e-06,5.0591379219426005e-06,1m,1726852920,28689267.755494002,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.727083005065868e-06,4.799847415320482e-06,4.727083005065868e-06,4.799847415320482e-06,1m,1726852980,8310475.52427,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.727083005065868e-06,4.727083005065868e-06,4.727083005065868e-06,4.727083005065868e-06,1m,1726853040,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.727083005065868e-06,4.727083005065868e-06,4.727083005065868e-06,4.727083005065868e-06,1m,1726853100,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.727083005065868e-06,4.727083005065868e-06,4.727083005065868e-06,4.727083005065868e-06,1m,1726853160,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.5190626530529535e-06,4.727083005065868e-06,4.5190626530529535e-06,4.727083005065868e-06,1m,1726853220,32855778.648765,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.362196207795327e-06,4.5190626530529535e-06,4.362196207795327e-06,4.5190626530529535e-06,1m,1726853280,3693680.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.362196207795327e-06,4.362196207795327e-06,4.362196207795327e-06,4.362196207795327e-06,1m,1726853340,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.362196207795327e-06,4.362196207795327e-06,4.362196207795327e-06,4.362196207795327e-06,1m,1726853400,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.362196207795327e-06,4.362196207795327e-06,4.362196207795327e-06,4.362196207795327e-06,1m,1726853460,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.362196207795327e-06,4.3268373665507095e-06,4.362196207795327e-06,1m,1726853520,4635232.160198,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853580,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853640,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853700,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853760,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853820,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853880,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726853940,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726854000,0.0,usd,2024-09-20,1m
6bAtLq3MVS5dPkMvUQ23jA29p2ssdZVDD1yQdsLEpump,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,4.3268373665507095e-06,1m,1726854060,0.0,usd,2024-09-20,1m
