address,close,high,low,open,type,ts,volume,currency,date,interval
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.993777086470473e-06,5.830500335349285e-06,4.993777086470473e-06,5.830500335349285e-06,1m,1748098800,81164665.845642,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.993777086470473e-06,4.938566935683688e-06,4.993777086470473e-06,1m,1748098860,3730297.957754,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748098920,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748098980,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099040,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099100,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099160,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099220,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099280,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099340,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099400,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099460,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099520,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099580,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099640,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099700,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099760,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099820,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099880,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748099940,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748100000,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748100060,0.0,usd,2025-05-24,1m
EZdc6D2cRwUSHxAs3GHiJyaMbzTURxTdSMvhUxv8pump,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,4.938566935683688e-06,1m,1748100120,0.0,usd,2025-05-24,1m
