address,close,high,low,open,type,ts,volume,currency,date,interval
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,4.716894198656817e-06,4.716894198656817e-06,3.896466345298816e-06,4.4775540198656815e-06,1m,1763674020,197730030.55016,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,5.9420086713425256e-06,5.9420086713425256e-06,4.716894198656817e-06,4.716894198656817e-06,1m,1763674080,207661176.75171697,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,5.781964615681826e-06,6.009234734413433e-06,5.781964615681826e-06,5.9420086713425256e-06,1m,1763674140,20225040.547038,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,5.781964615681826e-06,5.781964615681826e-06,5.781964615681826e-06,5.781964615681826e-06,1m,1763674200,0.0,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,5.923090550736447e-06,5.923090550736447e-06,5.781964615681826e-06,5.781964615681826e-06,1m,1763674260,22278343.776523,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.0828596684493845e-06,6.0849241274876436e-06,5.923090550736447e-06,5.923090550736447e-06,1m,1763674320,2312087.912086,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.040935753207622e-06,6.087716488234487e-06,6.0278032772485254e-06,6.0828596684493845e-06,1m,1763674380,10984995.799709998,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.196433437467409e-06,6.196433763700463e-06,6.034591185925629e-06,6.040935753207622e-06,1m,1763674440,18080739.000457004,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.198813374285181e-06,6.199102537022622e-06,6.19121599970569e-06,6.196433437467409e-06,1m,1763674500,7109187.719216,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.208812977094135e-06,6.211843325996111e-06,6.198813374285181e-06,6.198813374285181e-06,1m,1763674560,6250270.153438,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.207496705146845e-06,6.220908332483748e-06,6.207496705146845e-06,6.208812977094135e-06,1m,1763674620,6846768.964763998,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.592566858425613e-06,6.874709530538565e-06,6.202056707148726e-06,6.207496705146845e-06,1m,1763674680,90249975.25105199,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,7.060261009777326e-06,7.063667378549421e-06,6.589864374305868e-06,6.592566858425613e-06,1m,1763674740,33980254.901725,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.90971418171596e-06,7.113738985801387e-06,6.896246352969035e-06,7.060261009777326e-06,1m,1763674800,24238005.009069,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.908040692562052e-06,7.362567283575261e-06,6.876958700593286e-06,6.90971418171596e-06,1m,1763674860,61385597.58578199,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,7.710526217767208e-06,7.71385173908959e-06,6.754635029301902e-06,6.908040692562052e-06,1m,1763674920,65634753.91847601,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,7.205388311917289e-06,8.023986082778107e-06,7.03724963458385e-06,7.710526217767208e-06,1m,1763674980,110436897.74141303,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,6.942876702466974e-06,7.382122532905787e-06,6.94196915227728e-06,7.205388311917289e-06,1m,1763675040,50590426.494529985,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,7.713169799881248e-06,7.719080151726715e-06,6.934784996269019e-06,6.942876702466974e-06,1m,1763675100,46933394.071535006,usd,2025-11-20,1m
Ew9PNwCva5ocmrv1scFsVTgzb5k1Sr1o33QBbnUrpump,7.430681813139062e-06,7.713169799881248e-06,7.392034911628542e-06,7.713169799881248e-06,1m,1763675160,23686317.54189801,usd,2025-11-20,1m
