address,ts,price,date
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1717977600,1.2980145342776473e-05,2024-06-10
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718064000,7.317043159169944e-06,2024-06-11
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718150400,6.382765296177272e-06,2024-06-12
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718236800,4.982694734470959e-06,2024-06-13
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718323200,4.787535170423728e-06,2024-06-14
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718409600,4.827029237969008e-06,2024-06-15
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718496000,5.000306786739423e-06,2024-06-16
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718582400,5.4155485865452376e-06,2024-06-17
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718668800,4.687309626835164e-06,2024-06-18
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718755200,4.120816157926579e-06,2024-06-19
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718841600,4.035220311379151e-06,2024-06-20
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1718928000,3.986887363433317e-06,2024-06-21
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719014400,3.986887363433317e-06,2024-06-22
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719100800,3.897495235460759e-06,2024-06-23
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719187200,3.8105519144904925e-06,2024-06-24
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719273600,3.8105519144904925e-06,2024-06-25
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719360000,3.765620013055524e-06,2024-06-26
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719446400,4.086639795295977e-06,2024-06-27
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719532800,3.871346621435246e-06,2024-06-28
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719619200,3.867144546202487e-06,2024-06-29
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719705600,3.867144546202487e-06,2024-06-30
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719792000,3.867144546202487e-06,2024-07-01
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719878400,3.867144546202487e-06,2024-07-02
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1719964800,3.843003630046854e-06,2024-07-03
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720051200,3.7291001565584435e-06,2024-07-04
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720137600,3.7131063984675e-06,2024-07-05
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720224000,3.7131063984675e-06,2024-07-06
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720310400,3.7131063984675e-06,2024-07-07
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720396800,3.7131063984675e-06,2024-07-08
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720483200,3.9016457211736555e-06,2024-07-09
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720569600,3.847581509761348e-06,2024-07-10
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720656000,3.847581509761348e-06,2024-07-11
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720742400,3.847581509761348e-06,2024-07-12
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720828800,3.847581509761348e-06,2024-07-13
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1720915200,3.847581509761348e-06,2024-07-14
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721001600,4.286722118911853e-06,2024-07-15
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721088000,4.286722118911853e-06,2024-07-16
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721174400,4.286722118911853e-06,2024-07-17
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721260800,4.349781972677706e-06,2024-07-18
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721347200,4.406777422171946e-06,2024-07-19
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721433600,4.406777422171946e-06,2024-07-20
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721520000,4.406777422171946e-06,2024-07-21
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721606400,4.406777422171946e-06,2024-07-22
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721692800,4.406777422171946e-06,2024-07-23
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721779200,4.849004680111932e-06,2024-07-24
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721865600,4.849004680111932e-06,2024-07-25
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1721952000,5.008677122553069e-06,2024-07-26
7JaEvAuxqLC8qgxnyzKJGffeqDan5PF3wsq3QwEo3u8H,1722038400,5.089261490120486e-06,2024-07-27
