address,ts,price,date
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1757721600,7.370516454758953e-06,2025-09-13
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1757808000,7.370516454758953e-06,2025-09-14
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1757894400,7.370516454758953e-06,2025-09-15
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1757980800,7.370516454758953e-06,2025-09-16
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758067200,7.370516454758953e-06,2025-09-17
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758153600,7.370516454758953e-06,2025-09-18
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758240000,7.370516454758953e-06,2025-09-19
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758326400,7.370516454758953e-06,2025-09-20
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758412800,7.370516454758953e-06,2025-09-21
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758499200,7.370516454758953e-06,2025-09-22
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758585600,7.370516454758953e-06,2025-09-23
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758672000,7.370516454758953e-06,2025-09-24
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758758400,7.370516454758953e-06,2025-09-25
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758844800,7.370516454758953e-06,2025-09-26
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1758931200,7.370516454758953e-06,2025-09-27
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1759017600,7.370516454758953e-06,2025-09-28
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1759104000,7.370516454758953e-06,2025-09-29
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1759190400,7.370516454758953e-06,2025-09-30
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1759276800,7.370516454758953e-06,2025-10-01
81y3JrXThsffc5ZomiUWbcHQRzowv3Zks4QZw2cSpump,1759363200,7.370516454758953e-06,2025-10-02
