address,ts,price,date
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734220800,6.194903295479186e-06,2024-12-15
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734307200,6.194903295479186e-06,2024-12-16
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734393600,6.194903295479186e-06,2024-12-17
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734480000,6.194903295479186e-06,2024-12-18
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734566400,6.194903295479186e-06,2024-12-19
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734652800,6.194903295479186e-06,2024-12-20
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734739200,6.194903295479186e-06,2024-12-21
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734825600,6.194903295479186e-06,2024-12-22
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734912000,6.194903295479186e-06,2024-12-23
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1734998400,6.194903295479186e-06,2024-12-24
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735084800,6.194903295479186e-06,2024-12-25
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735171200,6.194903295479186e-06,2024-12-26
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735257600,6.194903295479186e-06,2024-12-27
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735344000,6.194903295479186e-06,2024-12-28
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735430400,6.194903295479186e-06,2024-12-29
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735516800,6.194903295479186e-06,2024-12-30
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735603200,6.194903295479186e-06,2024-12-31
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735689600,6.194903295479186e-06,2025-01-01
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735776000,6.194903295479186e-06,2025-01-02
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735862400,6.194903295479186e-06,2025-01-03
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1735948800,6.194903295479186e-06,2025-01-04
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736035200,6.194903295479186e-06,2025-01-05
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736121600,6.194903295479186e-06,2025-01-06
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736208000,6.194903295479186e-06,2025-01-07
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736294400,6.194903295479186e-06,2025-01-08
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736380800,6.194903295479186e-06,2025-01-09
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736467200,6.194903295479186e-06,2025-01-10
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736553600,6.194903295479186e-06,2025-01-11
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736640000,6.194903295479186e-06,2025-01-12
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736726400,6.194903295479186e-06,2025-01-13
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736812800,6.194903295479186e-06,2025-01-14
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736899200,6.194903295479186e-06,2025-01-15
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1736985600,6.194903295479186e-06,2025-01-16
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737072000,6.194903295479186e-06,2025-01-17
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737158400,6.194903295479186e-06,2025-01-18
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737244800,6.194903295479186e-06,2025-01-19
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737331200,6.194903295479186e-06,2025-01-20
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737417600,6.194903295479186e-06,2025-01-21
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737504000,6.194903295479186e-06,2025-01-22
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737590400,6.194903295479186e-06,2025-01-23
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737676800,6.194903295479186e-06,2025-01-24
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737763200,6.194903295479186e-06,2025-01-25
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737849600,6.194903295479186e-06,2025-01-26
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1737936000,6.194903295479186e-06,2025-01-27
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738022400,6.194903295479186e-06,2025-01-28
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738108800,6.194903295479186e-06,2025-01-29
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738195200,6.194903295479186e-06,2025-01-30
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738281600,6.194903295479186e-06,2025-01-31
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738368000,6.194903295479186e-06,2025-02-01
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738454400,6.194903295479186e-06,2025-02-02
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738540800,6.194903295479186e-06,2025-02-03
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738627200,6.194903295479186e-06,2025-02-04
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738713600,6.194903295479186e-06,2025-02-05
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738800000,6.194903295479186e-06,2025-02-06
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738886400,6.194903295479186e-06,2025-02-07
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1738972800,6.194903295479186e-06,2025-02-08
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1739059200,6.194903295479186e-06,2025-02-09
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1739145600,6.194903295479186e-06,2025-02-10
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1739232000,6.194903295479186e-06,2025-02-11
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1739318400,6.194903295479186e-06,2025-02-12
Hr85MZ6knbkeGSaoz1EnJZWebWjM4gLCzDFsdrNSpump,1739404800,6.194903295479186e-06,2025-02-13
