creatorAddress,creatorOwnerAddress,ownerAddress,ownerOfOwnerAddress,creationTx,creationTime,creationSlot,mintTx,mintTime,mintSlot,creatorBalance,ownerBalance,ownerPercentage,creatorPercentage,metaplexUpdateAuthority,metaplexOwnerUpdateAuthority,metaplexUpdateAuthorityBalance,metaplexUpdateAuthorityPercent,mutableMetadata,top10HolderBalance,top10HolderPercent,top10UserBalance,top10UserPercent,isTrueToken,fakeToken,totalSupply,preMarketHolder,lockInfo,freezeable,freezeAuthority,transferFeeEnable,transferFeeData,isToken2022,nonTransferable,jupStrictList,address
DUKVDysvzUK5tdfe1Y3kShdEtgHy7j92caUHSHHrECiW,,,,xaFPQxF6ByxkJRLFAFg4J1VS4u5Rv6hKxXxzNSZ1ZxAXELobMMp4Cbp9TTtExg5fJtNTkrLgcDHUCvYSxYC4qoH,1740767184,323705954,xaFPQxF6ByxkJRLFAFg4J1VS4u5Rv6hKxXxzNSZ1ZxAXELobMMp4Cbp9TTtExg5fJtNTkrLgcDHUCvYSxYC4qoH,1740767184,323705954,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,999854795.768302,1,999854795.768302,1,,,999854795.768302,,,,,,,False,,False,13BeCmeJHQHNyUwpDzsWs93dDicdz4dCpsKWQ9Bx72cy
DvK8GT9fCEKdJ2z4SGFfAjp3UruUnzaTt4gvre2BC3Qn,,,,5Xcph9aWXA5fazEzSD2LhwzkKAg7jZ61Kamo93yEHSBJ7rneXkBvApSi9GysPo3be8jaBaN5bTSCRgfA7yr2CKmf,1740988415,324265083,5Xcph9aWXA5fazEzSD2LhwzkKAg7jZ61Kamo93yEHSBJ7rneXkBvApSi9GysPo3be8jaBaN5bTSCRgfA7yr2CKmf,1740988415,324265083,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,1000000000,1,1000000000,1,,,1000000000,,,,,,,False,,False,13FW1USpHYgB5bWt3kR5Kub2SiSYn8Av3biyuKnDx87q
9sCcAxe56AuDQfJgU7kB1LpnQEYXDcGpAtXnN49H6SB3,,,,5AdckDiRbYzVEDLCkyVupo8rFK1Ttv7a9Pzt8DnuFSM6TbPYZ6mFVf3iDF2TmNXMycTB6QGSBxA18ETxeXWFHEjq,1747675314,341096521,5AdckDiRbYzVEDLCkyVupo8rFK1Ttv7a9Pzt8DnuFSM6TbPYZ6mFVf3iDF2TmNXMycTB6QGSBxA18ETxeXWFHEjq,1747675314,341096521,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,1000000000,1,1000000000,1,,,1000000000,,,,,,,False,,False,13XpZmJxos3CrGVVUnmFJ8aR5i3SZGFwMtGXsLbDB7Fn
8kjhatjtAWkjA8VfvZ2FX6y8tjgN1Xoj1MH214xz7pHB,,,,3sg5aT17rLn1Eps1VCiEE7zsGrybJTFnT4Li9r1GCxhg2Fi9nezpqJm7SumEviKRHuXUH1BWZR48DZe54VdFbLF3,1754333759,357873176,3sg5aT17rLn1Eps1VCiEE7zsGrybJTFnT4Li9r1GCxhg2Fi9nezpqJm7SumEviKRHuXUH1BWZR48DZe54VdFbLF3,1754333759,357873176,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,1000000000,1,1000000000,1,,,1000000000,,,,,,,False,,False,13gTWPPQSAHARSZbTZQYQwZcvV3wDR1tvGFrouXspump
HwvmgpnWFwpsDYxq3Lj38ia4b1ksLVQxerM2j1c2TFX5,,,,365YytvGtzZb8rCwFXxe311ShhVVyro5r34YGsLkzfLfKCwhx4xaANcdd1zDxc5jMXecmk7N5KexNSPKtewXasip,1745679754,336047181,365YytvGtzZb8rCwFXxe311ShhVVyro5r34YGsLkzfLfKCwhx4xaANcdd1zDxc5jMXecmk7N5KexNSPKtewXasip,1745679754,336047181,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,999999999.982666,1,999999999.982666,1,,,999999999.982666,,,,,,,False,,False,14S7f9j5xVEL2eFqZDvhYGaSJY18kaK9YoS1BbqsAqJ
CCEiJsYxTm5ZHTCvK2auMmZXBfJFBUvvtH1zBgrLdQmt,,,,2fx7NvBa9MjsT22AksmqvteS6VSmvdHvGGgn4hAqXzFGwKnJN42tii853ctHN1kjmBTZQGA61CZtGzkjLjR6gGLt,1746724938,338692676,2fx7NvBa9MjsT22AksmqvteS6VSmvdHvGGgn4hAqXzFGwKnJN42tii853ctHN1kjmBTZQGA61CZtGzkjLjR6gGLt,1746724938,338692676,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,999999999.982942,1,999999999.982942,1,,,999999999.982942,,,,,,,False,,False,21T6nZD7aRnGK28pc1ER8oK9inooCBVC3eAgrxHSpump
D9y2YMefvXDi9qEj3zt4LDRDBkrBb6PUVqucWM5VQEzU,,,,33yFHeW9ZhT2a4KkZRJdevijYYjbKjhVaEQiZ3CFE571tw7BHXDRDAnHkCiZD3bbym5w5N8mJrZZJUvSgYVtDBbR,1737675478,315947200,33yFHeW9ZhT2a4KkZRJdevijYYjbKjhVaEQiZ3CFE571tw7BHXDRDAnHkCiZD3bbym5w5N8mJrZZJUvSgYVtDBbR,1737675478,315947200,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,1000000000,1,1000000000,1,,,1000000000,,,,,,,False,,False,21jMC1aXyk99ZwxCe1CBXfnoCpn7uVjeaCiUagZkpump
HPCaMRqSZ1VxE85CsuMiVJjhRJtKiQx1MQJ64u4k9EYX,,,,3c3bNiVm99CHGwJSemhkrcWVzwLWb7pYADP3BdZXKmGi6z8aQmomeugxJngKEVGLgGrwzoaMoztuZnxD5fB42DKs,1724057544,284520268,3c3bNiVm99CHGwJSemhkrcWVzwLWb7pYADP3BdZXKmGi6z8aQmomeugxJngKEVGLgGrwzoaMoztuZnxD5fB42DKs,1724057544,284520268,0.488745,,,4.887450009087451e-10,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,999999998.140656,1,999999998.140656,1,,,999999998.140656,,,,,,,False,,False,22Ea8UbGM3c8iEcY5ohdT9YywcNve3J8B1xJYJavDiN2
E6ufzNEcJrTn4nkcFGq3j7CcCuGFkvR2FTvyjwuDH6a8,,,,4fBhkFv77u9gkvdFK6DvnqAZNWHtyzgzAsPxwh9dhgg8UZU42GQAcZT9U7pSs1TTsSJA988sRdijxsVyFAuM42Bp,1749584458,345940356,4fBhkFv77u9gkvdFK6DvnqAZNWHtyzgzAsPxwh9dhgg8UZU42GQAcZT9U7pSs1TTsSJA988sRdijxsVyFAuM42Bp,1749584458,345940356,35765.474484,,,3.5765474484e-05,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,1000000000,1,1000000000,1,,,1000000000,,,,,,,False,,False,22LMjZKQpaw1CpcjkA7W8rL2PnWKHzGH8TiLW4oR55jC
28oCWzsh82hhfpf1jMNbA2jGwu742R6R3xbxtQvYs5U2,,,,5fzBgXet3fJKrXENvHCDmsyAZPfvnSxkeJpTwe3Wkaa8Yq3JC7xaxpum47Rgeq2AsXfQpwoaHQyJSaKKyVEWySg6,1740854695,323927236,5fzBgXet3fJKrXENvHCDmsyAZPfvnSxkeJpTwe3Wkaa8Yq3JC7xaxpum47Rgeq2AsXfQpwoaHQyJSaKKyVEWySg6,1740854695,323927236,0,,,0,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,1000000000,1,1000000000,1,,,1000000000,,,,,,,False,,False,22PmsmgLJ2qq4YWW3jR3pbkxF5AnccgPPMRJDo4opump
