name,address,symbol,liquidity,volume24hChangePercent,fdv,rank,decimals,volume24hUSD,price24hChangePercent,ts,marketcap,price,logoURI
Official Momo The Shiba,EDYVck7GLvRm6MrANSp1xXoNZgwMMFmYKt8wX2Hapump,Momo,5903.515687917045,,5352.863052910256,1000,6,15200.449655675278,9.429980540397096,1741010401,5352.863052910256,5.3528630534455424e-06,https://ipfs.io/ipfs/QmbvBCKzJnqhL2m3hHeFXHo4R6bsWnwywwX3wXmmRddJMH
Davey Day Trader Global,DVtrerbvaB1JyAKA9crCN2xkxnYD5jBCLgsUrBZEpump,DDTG,40361.55994449806,598.6825181451645,60105.16517298232,999,6,19160.773697558587,27.16116820874058,1741010401,60105.16517298232,6.0246969098091744e-05,https://ipfs.io/ipfs/QmWS49R9tBhshMQJNm7AyCX6zDnNjWQkLXXNvhV3fv67ZR
TRUMP STRATEGIC CRYPTO RESERVE,BMASWDF19ihVFHEdoy2ST2QgF8kG3SESbvUkpA6Npump,TSCR,25300.65265094069,,55077.997494239135,998,6,13778.751317331384,80.29519668736118,1741010401,55077.997494239135,5.507799749423913e-05,https://ipfs.io/ipfs/QmWXQvA82Vf56EkKUq71YFNH8h8yvxNibqUMiw3dHvAbQ7
Buminator from Fart Club,4VBWWqufYf6YNFYisC37P6W48SAkqyHMGEqbsx9ppump,BUM,79979.83630159895,156.8763830444835,544901.6429639085,997,6,54806.872066550786,52.57397990532503,1741010401,544901.6429639085,0.0005449018461832238,https://ipfs.io/ipfs/QmUtg6b41ZnM4XgwfZJZuLFR2DPu8qDPEN5VdMrKaHdEyL
Silly Dragon,7EYnhQoR9YM3N7UoaKRoA44Uy8JeaZV3qyouov87awMs,SILLY,430617.34372223757,297.14772704932227,2907213.1774825756,996,9,91690.74996194604,9.337153016173422,1741010401,2907213.1774825756,0.0029074783654755776,https://gateway.irys.xyz/quusRf1O-_WcCbrFwHkbIZ26vxQ1xJZeQdsaKRITVNQ
Memfault Agent,7zQjZr7QEXmMVfuCVVHuoY3pfArD1M7BtdkZmaMApump,MEMFAULT,15341.786916948082,2030558.7840198514,18067.449824181334,995,6,57181.921704911816,37.24475175410537,1741010401,18067.449824181334,1.8069712264616864e-05,https://ipfs.io/ipfs/QmU9HtcZVNUNGsLHKfmWxMNMw2DSaTBPaFaZ2fjZWxMQ1m
Rawr,DEJiPKx5GActUtB6qUssreUxkhXtL4hTQAAJZ7Ccw8se,XD,258890.30395069756,1411.3770501695426,343005.717473177,994,6,42196.213732772536,1.1493240668183047,1741010401,343005.717473177,0.0003496221348088649,https://pump.mypinata.cloud/ipfs/QmafxhjPqEzAkWPcB36Jp3yB8nVuFwPgkqzs8grJbVcVhN
NEW SEC CHAIR,7w3ri9AgpAmswjbQgWczyMGTKCzi1W1yuT7Uw6HfHgk6,MARK,5665.238404696592,572548.3837697599,2787.5247439885175,993,6,22005.451441405145,14.563507929263565,1741010401,2787.5247439885175,2.7880608636641992e-06,https://metadata.pumployer.fun/data/84c1cbda-1637-41ec-b293-f7a2e92ddaac.jpg
Alwаys Praying Everyday,2VzVt83X3h4Loq2Vfef1VxJ7vFv3Kaq7GTWB55jvpump,APE,5082.934167670955,,5092.62368914089,992,6,47271.4317366545,-5.062144949920284,1741010401,5092.62368914089,5.0926236891408895e-06,https://ipfs.io/ipfs/QmdYDYcjsmgEYeGf7KfcamtEqLzmwFsPPJe4W4W3t4h17j
Fuck Around = Find Out,6jEp4iQeLYJuxF4vUeiESsVJH1L16HhjAnuyQrz7pump,FA=FO,63826.572647705805,276.5639583336562,107916.72135181821,991,6,8278.441783291943,11.055098501169562,1741010401,107916.72135181821,0.00010797202922590775,https://ipfs.io/ipfs/QmR8QKZ94qTPpXvKZkFkC3ivQxAhzhELP74YSF6A8wDBbH
markkacy,6QSVGUEyBZWRshnXKhS96NQ97vGWiTu61SyHLAbYpump,KACY,182977.46559777355,9.697332378497512,350674.7102015278,990,6,34255.243974892,2.332270706569119,1741010401,350674.7102015278,0.0003507147355649181,https://ipfs.io/ipfs/QmXVUag77A8zmMLhvQRxdhhfhm7SmmkvLFb3SmvkGSiBZD
neversol,CxrhHSqyW8YTDWc4csJMMgo7uBUJSXzNzrWhtw9ULdru,never,78040.11380821068,-35.54060490821187,307006.54817007616,989,6,56893.65417339513,7.118104163146485,1741010401,307006.54817007616,3.198427396276162e-06,https://i.ibb.co/qCZxFYK/avatar-reverse-2.png
MY NAME IS JEFF,GY3iV8XDmSSu2nQBCFrtZRfyyzS7ttS91vxAFNHiaDzv,JEFF,11903.109209821834,-100,7138.376014631532,988,6,199652.72074548126,-84.18187678017978,1741010401,7138.376014631532,1.1900005181562937e-05,https://pump.mypinata.cloud/ipfs/QmchUqNed51D3mCLcrqhpLEf1Gm4DKqnJjUMjBy3m8pu9V
aiagent.app,275FUEyp5o7TWo1dCDYJyprb4o2WBcxEQsvmt816pump,AAA,160654.40107283343,119.43497583606724,566688.1416635554,987,6,26186.640208318746,11.786874136922291,1741010401,566688.1416635554,0.0005667234545006244,https://ipfs.io/ipfs/QmaVNq8TZAoHmhokaWnMeugPMACw26b41AbDjcHGPaDoTM
WORK,F7Hwf8ib5DVCoiuyGr618Y3gon429Rnd1r5F9R5upump,WORK,154130.52898531003,585.9344913205366,652309.8417439952,986,6,135242.45433946452,19.448646353349318,1741010401,652309.8417439952,0.0006523857694422485,https://ipfs.io/ipfs/QmRrXtSRKSjiqaXYdHZVXmNTcoy2FXXR7jPeET97Cu66rx
KOALA AI,FsA54yL49WKs7rWoGv9sUcbSGWCWV756jTD349e6H2yW,KOKO,363520.1882519215,223.12600432322463,8018691.692925998,985,6,51150.066006935536,34.083426600421035,1741010401,8018691.692925998,8.061499166006542e-07,https://bafkreiclwey3of4ceeskastusikjw73ybmtddrvsky5jxaspusaxjhtyuy.ipfs.nftstorage.link
FatCat,AHdVQs56QpEEkRx6m8yiYYEiqM2sKjQxVd6mGH12pump,FatCat,184824.67391260187,344.05285735040496,2431620.334848789,984,6,24917.306074603934,17.930926980947547,1741010401,2431620.334848789,0.002431731285501116,https://ipfs.io/ipfs/QmRnVdbTjQfYAQN59wuBxu3aWkmdawA67a3vrAwCTwaPDt
SwastiCoin,D91JAEfzeFZspHc6PrY8n1p234oEKXzhM3EM73Vppump,SWASTICOIN,26013.371269403557,17.484925677717907,32988.20686035561,983,6,39880.49468712983,0.7337138310476765,1741010401,32988.20686035561,3.3002436945352005e-05,https://ipfs.io/ipfs/QmYPwEuWnNxTQKLra2SxApsb7Bcn9RdxpJ5xvRA7wQ4STw
Renzo Restaked SOL,ezSoL6fY1PVdJcJsUpe5CM3xkfmy3zoVCABybm5WtiC,ezSOL,2646754.0958990315,-92.01800521962494,80723348.92569958,982,9,445018.67085255135,16.88498799989203,1741010401,80722531.8341196,195.51572106558484,https://nhjibgkrkpvjc4pzb3bk3v2ocom53mu3ruaslsclskqbteianmea.arweave.net/adKAmVFT6pFx-Q7CrddOE5ndspuNASXIS5KgGZEAawg
DePlan,J2LWsSXx4r3pYbJ1fwuX5Nqo7PPxjcGPpUb2zHNadWKa,DPLN,163913.41867412877,854.9960741481092,4774931.492990892,981,6,9049.06209625021,13.84438025460328,1741010401,4774931.492990892,0.047749657690394305,https://jprwutcw237zskmqfiyq72df2gx3o4r3imjdd2dx4ygfvyt524ua.arweave.net/S-NqTFbW_5kpkCoxD-hl0a-3cjtDEjHod-YMWuJ91yg
CRYPSICOIN,5e6Y8yJ56i7nFwiks1Bqs5BXyN4DuvwHvdzoGYxjsHsn,CRYPSI,244009.80479640907,-4.809922017679316,491808.5334590103,980,8,13585.56093104053,16.955117421073208,1741010402,491808.5334590103,0.023420995980310822,https://ipfs.io/ipfs/QmQ5JCjKAFXKTXvUtaHrqoaJWu25YZMg5GdUP55kyf2PTK
SmarDex Token (Wormhole),9dzSzFvPsKDoY2gdWErsuz2H1o4tbzvgBhrNZ9cvkD2j,SDEX,169878.96282589732,159.81379868035387,1992013.0557566618,979,8,201812.5530933898,4.695896168917497,1741010402,1992013.0557566618,0.0067403050035630485,
The Blinking AI Cat - Catfather,7uCHQdxAz2ojRgEpXRHas1nJAeTTo9b7JWNgpXXi9D9p,CATF,145239.77462985314,-0.3694679704133785,538895.1104029694,978,6,51426.627514382955,-5.068958801690493,1741010402,538895.1104029694,0.0005456718846091034,https://ipfs.io/ipfs/Qma9Z6xTo5EMwcqqDaJ8HtSmqhTAT64JxcN72jyrCgYXUk
Nexus Capital Alliance,3Z973zdcGjtKyLmnxAyHmMYd9fp4XJpaTMReQBsfpump,NCA,10823.37535857708,,12814.072278287433,977,6,35774.9778525479,129.83142604681075,1741010402,12814.072278287433,1.2815703276978074e-05,https://ipfs.io/ipfs/QmXDshrFRnCUGmxdGxruZVbGQ9qiFkNKr6xSsGXMCzjPkT
What in Tarnation?,Adq3wnAvtaXBNfy63xGV1YNkDiPKadDT469xF9uZPrqE,WIT,158470.16589714948,810.2667924169895,427065.18164514285,976,6,15978.130614132278,12.35092836999547,1741010402,427065.18164514285,0.0004403003788041579,https://pump.mypinata.cloud/ipfs/QmeqEFthErkc4E5r758Uc3X7hLEyB9S83iWc5ZjcW1C9M3
MXM,H53UGEyBrB9easo9ego8yYk7o4Zq1G5cCtkxD3E3hZav,MXM,171049.42849331116,857.121009617118,2688780.062175989,975,6,24394.941105887345,7.778527256977257,1741010402,2688780.062175989,0.002717334382121188,https://assets.mixmob.io/images/MXM_Token.png
ZACK MORRIS,8vCAUbxejdtaxn6jnX5uaQTyTZLmXALg9u1bvFCAjtx7,ZACK,205956.29214690067,24.058175250034637,560316.5024211314,974,6,23109.317147599064,17.100868996652217,1741010402,560316.5024211314,0.0006474044323417963,https://pump.mypinata.cloud/ipfs/QmPe1csXRHKPF7Yn5PGzrGk9EXi9yNs1keB2c7sqsHkHNN
BlocX,9DFQSovQkUa9x8Chub4vLdrf3np1bFFGVEpwXvSDpump,BLX,33350.47598641482,83.78140647316059,59347.32805478899,973,6,14839.581796432696,22.097650325697487,1741010402,59347.32805478899,6.01415521062251e-05,https://ipfs.io/ipfs/QmYe9PcU1C1eGUEXkYMWDtM3yLKSg8xTaTuCqchuPUrLyV
SYLVI AGENT,DuidnHq4WKSeJx3m4QKf7xSfXXa7H9ocT39hFjMSpump,SylviAI,134735.92298511587,126.84012761317065,571758.032919483,972,6,43380.638048689165,19.78465091316645,1741010402,571758.032919483,0.0005717745207872915,https://ipfs.io/ipfs/Qmbrb8eqznCTT1mpBFUKCdpB6mkqMym1yHAAymJDA525He
Self Fart Monkey,Cnrqmze2a2Q5Mivr6WoGDcFH4KLQhQ3kKyNAEacdpump,SFM,5679.176435395521,,5796.88308079472,971,6,15182.156930709993,8.193415355176166,1741010402,5796.88308079472,5.796883080794719e-06,https://ipfs.io/ipfs/QmPwyD7qjSMEbXYDGuEViBWx2z4sVcfzsjH4VE6xY97C94
risk-freestacc,pSYRpDqr847kB2nD5ZhjcPsHLV2ZpUxweXm1MwiSTcc,r-fstacc,274979.43426348554,158.40931202416684,111159.650603629,970,9,58138.984855299685,71.93649613328624,1741010402,111184.14880953594,176.68783575820467,https://imgur.fotofolio.xyz/?w=128&h=128&default=1&url=https%3A%2F%2Fimgur.fotofolio.xyz%2F%3Fw%3D128%26h%3D128%26default%3D1%26url%3Dhttps%253A%252F%252Fimgur.fotofolio.xyz%252F%253Fw%253D128%2526h%253D128%2526default%253D1%2526url%253Dhttps%25253A%25252F%25252Fi.imgur.com%25252F2DP8zMb.gif
Trump Bucks,BgCeigJo2iY3dJhqS2z9w4pjjufFd4F9oKS3FrkMbmbJ,TrumpBucks,759575.057848166,392.3595611345353,945332.6023633914,969,9,5674.651280420964,-1.4877631570155854,1741010402,945332.6023633914,0.0009411287362110323,https://bafybeif7y7n4pukk2liatiejmrvi4ka6xhb666b426mac4fmf6x3s2dn7a.ipfs.nftstorage.link
