Amount,PostBalance,Decimals,EditionNonce,Fungible,IsMutable,Key,MetadataAddress,MintAddress,Name,Native,PrimarySaleHappened,ProgramAddress,Symbol,TokenCreator,TokenStandard,UpdateAuthority,Uri,VerifiedCollection,Wrapped,Time,Height
1000000000.000000,1000000000.000000,6,254,True,False,MetadataV1,2eLggLjka6VunPpAbYYHHFd98qVEnt9ELY8sLFQ7zrad,8pQW6yY3qocAyDY9sUtsce2qgG5nk5JNbNcy6BQfpump,Prometheus Computer,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,PC,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmVuQ2cV2mWk6w47DLDT7yaYbveV2B9SyWVsCGSnMRPStZ,False,False,2025-03-13T04:00:00Z,304667145
1000000000.000000,1000000000.000000,6,0,True,False,,69qHjJKee2ebDZbtqDgre2mA2cKsBiHtFt4siCcdbdRz,5sKfP32V19eVD2KhwHx7hMs3tbQ5kpVq1dQD71Pnpump,Elonball,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,BALL,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmSxLFKcLdnisgX8xiXa5WJq39atjWXuq9KpEB1rerF23E,False,False,2025-03-13T04:00:01Z,304667147
1000000000.000000,1000000000.000000,6,0,True,False,,B7bL4PBxQJauxcXk2wPb8j5SZDMfu8L1UNXhuFUA9tWW,9CKAkZqfoH2Udy2DHQfUu1mdNavFS964pY9KpQkmpump,AI chatbots,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,AICHATBOTS,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmPM7n3d4HB9Jhzpb8PUT3TJKjNKJAuo1oA2iZXhCNcukA,False,False,2025-03-13T04:00:01Z,304667147
1000000000.000000,1000000000.000000,6,0,True,False,,xtSArXLSjKyQJUByos2sRgbmazsumVeQZaDGuRgjTk5,CPVJr2vqYQE2oY9ZejRRi7nsuasX3ooaeyYSG6hzpump,Justice for Ebony ,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,EBONY,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmTiY857gsU2hV5XoZ4iuYJfCkgrzPFqp72n5JhvsLadfm,False,False,2025-03-13T04:00:02Z,304667148
1000000000.000000,1000000000.000000,6,0,True,False,,3U4X9oc6QSdMz6x2sJYagJ9Nn1mRtNV5oEpSpTHG1DUw,5tyEsRnwiaYBPqXJJpdHdc9FwjBd94t5LmBod8Zopump,pwayboi cawti,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,cawti,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmQ6sr3MpZAFvrAJmhRouDgW4MEVHCH3tLWb14ciQvFagx,False,False,2025-03-13T04:00:03Z,304667151
1000000000.000000,1000000000.000000,6,0,True,False,,7No26YsHveTK955G9kR2EP3LraJxNc3zA5TdnLWseHah,5fbX2ves2pARVxAtLT9JFryusPmmTaQFuMLf2tfRpump,CODE_IDE,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,IDE,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmcYnSMUaRLXpmbCdePwpKs8JLgvCFSHmFkSoh37kMscd2,False,False,2025-03-13T04:00:03Z,304667152
1000000000.000000,1000000000.000000,6,0,True,False,,,FqEJkjDG5tgNy8RNHRas5gQEuB93Ldx7fp6yxbB2pump,,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,,[],,,,False,False,2025-03-13T04:00:04Z,304667154
1000000000.000000,1000000000.000000,6,0,True,False,,FYy2fUQNZCvstCso7nqzaee8waTL4XkTJsmZatRYrMU4,74Vpz4M6xDPprv8W6Q8DYNF9aTgBgVnEsrwfDVZQpump,Infinity SOL Glitch,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,SOLGLITCH,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmcpxcpvZWVXfZehD4zWCahvNNjbSoaWuFCgkJsLdJwdbj,False,False,2025-03-13T04:00:06Z,304667159
1000000000.000000,1000000000.000000,6,0,True,False,,CD7rk2rR4LHGz2DPsKpViwAbFQbz7THXnpwirfDXiJqy,Bdh1cfK3R8kwCEa9FoE5zTUrwBq6Ry4CJ8apAsfZpump,Harry DOGE,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,DOGE,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmV6e84dLUCGjnjzgfRhSofBpgeuYy5Dmk7kgsRQ5eHpaf,False,False,2025-03-13T04:00:11Z,304667172
1000000000.000000,1000000000.000000,6,0,True,False,,FCNF5dyMxBMqdC1DR4bE2sWVjK3SYzmW9KB4T38gkSFo,9evD2q4X4bbCZbgnhdt7G1QnBvVMXEwUksxNwEyxpump,Horse Rider Elon,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,HRE,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmfWCkagvRYQRJF1TUBHgBTe7ybM3Afnp8cwZnbBdfppKY,False,False,2025-03-13T04:00:12Z,304667175
1000000000.000000,1000000000.000000,6,0,True,False,,Ffj9KqRYgEwHHVRhLVJe6V47KH89dHtQaritvoxx2m9L,AbFPy7cPn8jY2zgg5C5a3hiGBCGkrh9EgE5d6akMpump,RIP Bear,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,Bear,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmTfpcyfQgZ2EBzPJVvgjsZCJmSXNXG2KfZWzYk5mFvHWD,False,False,2025-03-13T04:00:14Z,304667178
