address,name,symbol,uri,description,image,createdOn
B3m1QdGuLLQJUrSmc1qdcXMcSAwgkF3qg3zY99JWpump,IRL BONK,IRL,https://ipfs.io/ipfs/QmThn2mRZ7GwgAdVko3oc3z658GAPW83SdhhKgkpixpr6x,,https://ipfs.io/ipfs/QmQSFJA8587gtqbUeu5ZCpRwt8BRHvvnZnCmFzAGcvq1qV,https://pump.fun
8eaJgz6RUgDBMuWufXLYWGgam2yeDDqBB3qyNb3AuBp7,tsotchkes Cat,SOFI,https://ipfs.io/ipfs/Qma7cczZKfsj6ftw7NwctxvyNcHLtwxk9wzjHjrsszCxmy,,https://ipfs.io/ipfs/QmYAzXKCU2fZkBCg4Y5CR1nTGfGL4mKp8EE2uFUve1BwxM,https://pump.fun
CdvCJJQHeU7qzpDWsRjR2E1Vp7GoQfBtg4joR9yprR5Z,Multi AI,MAI,https://ipfs.coinsult.app/ipfs/QmTnqnNxToCssAhuz3K3DvxNgxqt8WWCTbRodBL49imayT,"Multi Ai is a platform for open-source products built using artificial intelligence technology. Use all the latest innovations in the field of machine learning on one platform. Hundreds of open source AI models, ready to use!",https://ipfs.coinsult.app/ipfs/QmTg48hkZTWgf6Bo6mbdPVVPHCWspzqksa8XpryfJGr2Db,
6WErZ2aMZYLUyzbP9n5gm4fwHJbv9Ln8yimSQRwZpump,ShyCat,SHYCAT,https://cf-ipfs.com/ipfs/QmYZqBTfg1A7kiU4HmNtY4C5RdpGPw2uyL7ZVBcEFpYWGP,The cat is shy.,https://cf-ipfs.com/ipfs/QmTmqXggFuwZzES93EigEN189dfSX4yTHa5QKFxwjzN283,https://pump.fun
D8TdBi8zTdhoDJ8a3Dw9MJCLGGjcU4EXrvsxtE1C57Kj,WHALE,WHALE,https://bafkreiaskdgfhk7j5rcp6kcdutemsw6lyryqahlmilgxz7cwkjwxhugtrm.ipfs.nftstorage.link,,https://bafkreidn6x5o7vd2gjz46gf45mqcke24qigohbbwifh755oemsjbnh74sa.ipfs.nftstorage.link,
Cw5oHuZdQdTgJ6YwxYwg8bMnSo8QpxHZD1uXqvLBe4K1,STACC,STACC,https://ipfs.io/ipfs/bafkreibcp3wr6opphkjzduyisr3reo67i7kihnpx2ae7ktiuj3qqjrqp2e,I am probably not staccoverflow. A memory leak. Security via confusion.,https://bafkreigxk52xemqlcl23rboibhj2dq6i2ug24j6lghuaze3jfdaoixydpa.ipfs.nftstorage.link,
7LvJrVmmY7BYPA76EzATeRerjKbsfNUxkRzEtiJ4pump,PULSR,PULSR,https://gateway.irys.xyz/eQb1YByxsm-YGZyX597W-6hHwrZJRKKT2_8c3HFNuQE,The largest AI network on ChatGPT. PULSR is the next-gen token fuelling top rated GPTs and AI agents across the globe!,https://ipfs.io/ipfs/QmWD76kA9rwVFeXL1JVaPCQidq7rKVjtjQD4SfcW2x5MNQ,https://pump.fun
HYPp6B3GkgHd3gxDd7ELZVMvDkFCD86C5qqtypQEpump,Metaland,META,https://ipfs.io/ipfs/QmeCFiEzThWhfQLm9dECKADUDdkq7PzUx4b9FSDYhxaPsf,,https://ipfs.io/ipfs/QmUaMfRUPc8S2MpKPjDKU8iPftBAx6cVLDG7yMGMLYSrDL,https://pump.fun
4tRy4FoKWM3Y8aMBq9a2K1ZB6psKi2aFG4oGQfHKWqJq,Workie,WORKIE,https://gateway.pinata.cloud/ipfs/QmcqazEVrd7yMqK4GsnFyWY17Bgov5o7s2k1DEq72c48Ah,Workie,https://www.dextools.io/resources/tokens/logos/base/0x7480527815ccae421400da01e052b120cc4255e9.png?1718575043834,
D1qWiMb5x1mrcA9BiyPx4B589DMaptRyNzzhEBbY3jbV,Tiany Chong,Tiany,https://ipfs.io/ipfs/QmSfKU9AAmwscmA8omnpg2cTZQ1urCqsWa6E2uRrmZEoPq,Charming Critter Haven With 15.8M Followers,https://ipfs.io/ipfs/QmddSbNAdFAAUCsBNmwnNGH7dU9dNWEhp23S3diHvVZXE2,https://pump.fun
